"","name","label","concept"
"37","HCT007011","Total!!Renter occupied!!1-person household","TENURE BY HOUSEHOLD SIZE"
"38","HCT007012","Total!!Renter occupied!!2-person household","TENURE BY HOUSEHOLD SIZE"
"39","HCT007013","Total!!Renter occupied!!3-person household","TENURE BY HOUSEHOLD SIZE"
"40","HCT007014","Total!!Renter occupied!!4-person household","TENURE BY HOUSEHOLD SIZE"
"41","HCT007015","Total!!Renter occupied!!5-person household","TENURE BY HOUSEHOLD SIZE"
"42","HCT007016","Total!!Renter occupied!!6-person household","TENURE BY HOUSEHOLD SIZE"
"43","HCT007017","Total!!Renter occupied!!7-or-more-person household","TENURE BY HOUSEHOLD SIZE"
"44","HCT008001","Total","TENURE BY AGE OF HOUSEHOLDER"
"45","HCT008002","Total!!Owner occupied","TENURE BY AGE OF HOUSEHOLDER"
"46","HCT008003","Total!!Owner occupied!!Householder 15 to 24 years","TENURE BY AGE OF HOUSEHOLDER"
"47","HCT008004","Total!!Owner occupied!!Householder 25 to 34 years","TENURE BY AGE OF HOUSEHOLDER"
"48","HCT008005","Total!!Owner occupied!!Householder 35 to 44 years","TENURE BY AGE OF HOUSEHOLDER"
"49","HCT008006","Total!!Owner occupied!!Householder 45 to 54 years","TENURE BY AGE OF HOUSEHOLDER"
"50","HCT008007","Total!!Owner occupied!!Householder 55 to 59 years","TENURE BY AGE OF HOUSEHOLDER"
"51","HCT008008","Total!!Owner occupied!!Householder 60 to 64 years","TENURE BY AGE OF HOUSEHOLDER"
"52","HCT008009","Total!!Owner occupied!!Householder 65 to 74 years","TENURE BY AGE OF HOUSEHOLDER"
"53","HCT008010","Total!!Owner occupied!!Householder 75 to 84 years","TENURE BY AGE OF HOUSEHOLDER"
"54","HCT008011","Total!!Owner occupied!!Householder 85 years and over","TENURE BY AGE OF HOUSEHOLDER"
"55","HCT008012","Total!!Renter occupied","TENURE BY AGE OF HOUSEHOLDER"
"56","HCT008013","Total!!Renter occupied!!Householder 15 to 24 years","TENURE BY AGE OF HOUSEHOLDER"
"57","HCT008014","Total!!Renter occupied!!Householder 25 to 34 years","TENURE BY AGE OF HOUSEHOLDER"
"58","HCT008015","Total!!Renter occupied!!Householder 35 to 44 years","TENURE BY AGE OF HOUSEHOLDER"
"59","HCT008016","Total!!Renter occupied!!Householder 45 to 54 years","TENURE BY AGE OF HOUSEHOLDER"
"60","HCT008017","Total!!Renter occupied!!Householder 55 to 59 years","TENURE BY AGE OF HOUSEHOLDER"
"61","HCT008018","Total!!Renter occupied!!Householder 60 to 64 years","TENURE BY AGE OF HOUSEHOLDER"
"62","HCT008019","Total!!Renter occupied!!Householder 65 to 74 years","TENURE BY AGE OF HOUSEHOLDER"
"63","HCT008020","Total!!Renter occupied!!Householder 75 to 84 years","TENURE BY AGE OF HOUSEHOLDER"
"64","HCT008021","Total!!Renter occupied!!Householder 85 years and over","TENURE BY AGE OF HOUSEHOLDER"
"65","HCT009001","Total","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"66","HCT009002","Total!!Owner occupied","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"67","HCT009003","Total!!Owner occupied!!Family households","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"68","HCT009004","Total!!Owner occupied!!Family households!!Husband-wife family","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"69","HCT009005","Total!!Owner occupied!!Family households!!Husband-wife family!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"70","HCT009006","Total!!Owner occupied!!Family households!!Husband-wife family!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"71","HCT009007","Total!!Owner occupied!!Family households!!Husband-wife family!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"72","HCT009008","Total!!Owner occupied!!Family households!!Other family","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"73","HCT009009","Total!!Owner occupied!!Family households!!Other family!!Male householder, no wife present","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"74","HCT009010","Total!!Owner occupied!!Family households!!Other family!!Male householder, no wife present!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"75","HCT009011","Total!!Owner occupied!!Family households!!Other family!!Male householder, no wife present!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"76","HCT009012","Total!!Owner occupied!!Family households!!Other family!!Male householder, no wife present!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"77","HCT009013","Total!!Owner occupied!!Family households!!Other family!!Female householder, no husband present","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"78","HCT009014","Total!!Owner occupied!!Family households!!Other family!!Female householder, no husband present!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"79","HCT009015","Total!!Owner occupied!!Family households!!Other family!!Female householder, no husband present!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"80","HCT009016","Total!!Owner occupied!!Family households!!Other family!!Female householder, no husband present!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"81","HCT009017","Total!!Owner occupied!!Nonfamily households","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"82","HCT009018","Total!!Owner occupied!!Nonfamily households!!Male householder","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"83","HCT009019","Total!!Owner occupied!!Nonfamily households!!Male householder!!Living alone","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"84","HCT009020","Total!!Owner occupied!!Nonfamily households!!Male householder!!Living alone!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"85","HCT009021","Total!!Owner occupied!!Nonfamily households!!Male householder!!Living alone!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"86","HCT009022","Total!!Owner occupied!!Nonfamily households!!Male householder!!Living alone!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"87","HCT009023","Total!!Owner occupied!!Nonfamily households!!Male householder!!Not living alone","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"88","HCT009024","Total!!Owner occupied!!Nonfamily households!!Male householder!!Not living alone!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"89","HCT009025","Total!!Owner occupied!!Nonfamily households!!Male householder!!Not living alone!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"90","HCT009026","Total!!Owner occupied!!Nonfamily households!!Male householder!!Not living alone!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"91","HCT009027","Total!!Owner occupied!!Nonfamily households!!Female householder","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"92","HCT009028","Total!!Owner occupied!!Nonfamily households!!Female householder!!Living alone","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"93","HCT009029","Total!!Owner occupied!!Nonfamily households!!Female householder!!Living alone!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"94","HCT009030","Total!!Owner occupied!!Nonfamily households!!Female householder!!Living alone!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"95","HCT009031","Total!!Owner occupied!!Nonfamily households!!Female householder!!Living alone!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"96","HCT009032","Total!!Owner occupied!!Nonfamily households!!Female householder!!Not living alone","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"97","HCT009033","Total!!Owner occupied!!Nonfamily households!!Female householder!!Not living alone!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"98","HCT009034","Total!!Owner occupied!!Nonfamily households!!Female householder!!Not living alone!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"99","HCT009035","Total!!Owner occupied!!Nonfamily households!!Female householder!!Not living alone!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"100","HCT009036","Total!!Renter occupied","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"101","HCT009037","Total!!Renter occupied!!Family households","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"102","HCT009038","Total!!Renter occupied!!Family households!!Husband-wife family","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"103","HCT009039","Total!!Renter occupied!!Family households!!Husband-wife family!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"104","HCT009040","Total!!Renter occupied!!Family households!!Husband-wife family!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"105","HCT009041","Total!!Renter occupied!!Family households!!Husband-wife family!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"106","HCT009042","Total!!Renter occupied!!Family households!!Other family","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"107","HCT009043","Total!!Renter occupied!!Family households!!Other family!!Male householder, no wife present","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"108","HCT009044","Total!!Renter occupied!!Family households!!Other family!!Male householder, no wife present!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"109","HCT009045","Total!!Renter occupied!!Family households!!Other family!!Male householder, no wife present!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"110","HCT009046","Total!!Renter occupied!!Family households!!Other family!!Male householder, no wife present!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"111","HCT009047","Total!!Renter occupied!!Family households!!Other family!!Female householder, no husband present","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"112","HCT009048","Total!!Renter occupied!!Family households!!Other family!!Female householder, no husband present!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"113","HCT009049","Total!!Renter occupied!!Family households!!Other family!!Female householder, no husband present!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"114","HCT009050","Total!!Renter occupied!!Family households!!Other family!!Female householder, no husband present!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"115","HCT009051","Total!!Renter occupied!!Nonfamily households","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"116","HCT009052","Total!!Renter occupied!!Nonfamily households!!Male householder","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"117","HCT009053","Total!!Renter occupied!!Nonfamily households!!Male householder!!Living alone","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"118","HCT009054","Total!!Renter occupied!!Nonfamily households!!Male householder!!Living alone!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"119","HCT009055","Total!!Renter occupied!!Nonfamily households!!Male householder!!Living alone!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"120","HCT009056","Total!!Renter occupied!!Nonfamily households!!Male householder!!Living alone!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"121","HCT009057","Total!!Renter occupied!!Nonfamily households!!Male householder!!Not living alone","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"122","HCT009058","Total!!Renter occupied!!Nonfamily households!!Male householder!!Not living alone!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"123","HCT009059","Total!!Renter occupied!!Nonfamily households!!Male householder!!Not living alone!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"124","HCT009060","Total!!Renter occupied!!Nonfamily households!!Male householder!!Not living alone!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"125","HCT009061","Total!!Renter occupied!!Nonfamily households!!Female householder","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"126","HCT009062","Total!!Renter occupied!!Nonfamily households!!Female householder!!Living alone","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"127","HCT009063","Total!!Renter occupied!!Nonfamily households!!Female householder!!Living alone!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"128","HCT009064","Total!!Renter occupied!!Nonfamily households!!Female householder!!Living alone!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"129","HCT009065","Total!!Renter occupied!!Nonfamily households!!Female householder!!Living alone!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"130","HCT009066","Total!!Renter occupied!!Nonfamily households!!Female householder!!Not living alone","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"131","HCT009067","Total!!Renter occupied!!Nonfamily households!!Female householder!!Not living alone!!Householder 15 to 34 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"132","HCT009068","Total!!Renter occupied!!Nonfamily households!!Female householder!!Not living alone!!Householder 35 to 64 years","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"133","HCT009069","Total!!Renter occupied!!Nonfamily households!!Female householder!!Not living alone!!Householder 65 years and over","TENURE BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER"
"134","HCT010001","Total","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"135","HCT010002","Total!!Owner-occupied","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"136","HCT010003","Total!!Owner-occupied!!With own children under 18 years","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"137","HCT010004","Total!!Owner-occupied!!With own children under 18 years!!Under 6 years only","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"138","HCT010005","Total!!Owner-occupied!!With own children under 18 years!!Under 6 years and 6 to 17 years","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"139","HCT010006","Total!!Owner-occupied!!With own children under 18 years!!6 to 17 years only","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"140","HCT010007","Total!!Owner-occupied!!No own children under 18 years","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"141","HCT010008","Total!!Renter-occupied","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"142","HCT010009","Total!!Renter-occupied!!With own children under 18 years","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"143","HCT010010","Total!!Renter-occupied!!With own children under 18 years!!Under 6 years only","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"144","HCT010011","Total!!Renter-occupied!!With own children under 18 years!!Under 6 years and 6 to 17 years","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"145","HCT010012","Total!!Renter-occupied!!With own children under 18 years!!6 to 17 years only","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"146","HCT010013","Total!!Renter-occupied!!No own children under 18 years","TENURE BY PRESENCE AND AGE OF OWN CHILDREN"
"147","HCT011001","Total","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"148","HCT011002","Total!!Owner-occupied","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"149","HCT011003","Total!!Owner-occupied!!With related children under 18 years","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"150","HCT011004","Total!!Owner-occupied!!With related children under 18 years!!Under 6 years only","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"151","HCT011005","Total!!Owner-occupied!!With related children under 18 years!!Under 6 years and 6 to 17 years","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"152","HCT011006","Total!!Owner-occupied!!With related children under 18 years!!6 to 17 years only","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"153","HCT011007","Total!!Owner-occupied!!No related children under 18 years","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"154","HCT011008","Total!!Renter-occupied","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"155","HCT011009","Total!!Renter-occupied!!With related children under 18 years","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"156","HCT011010","Total!!Renter-occupied!!With related children under 18 years!!Under 6 years only","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"157","HCT011011","Total!!Renter-occupied!!With related children under 18 years!!Under 6 years and 6 to 17 years","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"158","HCT011012","Total!!Renter-occupied!!With related children under 18 years!!6 to 17 years only","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"159","HCT011013","Total!!Renter-occupied!!No related children under 18 years","TENURE BY PRESENCE AND AGE OF RELATED CHILDREN"
"160","HCT012001","Total","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"161","HCT012002","Total!!Owner-occupied","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"162","HCT012003","Total!!Owner-occupied!!With children under 18 years","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"163","HCT012004","Total!!Owner-occupied!!With children under 18 years!!Under 6 years only","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"164","HCT012005","Total!!Owner-occupied!!With children under 18 years!!Under 6 years and 6 to 17 years","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"165","HCT012006","Total!!Owner-occupied!!With children under 18 years!!6 to 17 years only","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"166","HCT012007","Total!!Owner-occupied!!No children under 18 years","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"167","HCT012008","Total!!Renter-occupied","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"168","HCT012009","Total!!Renter-occupied!!With children under 18 years","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"169","HCT012010","Total!!Renter-occupied!!With children under 18 years!!Under 6 years only","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"170","HCT012011","Total!!Renter-occupied!!With children under 18 years!!Under 6 years and 6 to 17 years","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"171","HCT012012","Total!!Renter-occupied!!With children under 18 years!!6 to 17 years only","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"172","HCT012013","Total!!Renter-occupied!!No children under 18 years","TENURE BY PRESENCE AND AGE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE  (EXCLUDING HOUSEHOLDERS, SPOUSES, AND UNMARRIED PARTNERS)"
"173","HCT013001","Total","OCCUPIED HOUSING UNITS SUBSTITUTED"
"174","HCT013002","Total!!Substituted","OCCUPIED HOUSING UNITS SUBSTITUTED"
"175","HCT013003","Total!!Not substituted","OCCUPIED HOUSING UNITS SUBSTITUTED"
"176","HCT014001","Total","ALLOCATION OF TENURE"
"177","HCT014002","Total!!Allocated","ALLOCATION OF TENURE"
"178","HCT014003","Total!!Not allocated","ALLOCATION OF TENURE"
"179","PCO001001","Total","GROUP QUARTERS POPULATION BY SEX BY AGE"
"180","PCO001002","Total!!Male","GROUP QUARTERS POPULATION BY SEX BY AGE"
"181","PCO001003","Total!!Male!!Under 5 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"182","PCO001004","Total!!Male!!5 to 9 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"183","PCO001005","Total!!Male!!10 to 14 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"184","PCO001006","Total!!Male!!15 to 19 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"185","PCO001007","Total!!Male!!20 to 24 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"186","PCO001008","Total!!Male!!25 to 29 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"187","PCO001009","Total!!Male!!30 to 34 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"188","PCO001010","Total!!Male!!35 to 39 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"189","PCO001011","Total!!Male!!40 to 44 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"190","PCO001012","Total!!Male!!45 to 49 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"191","PCO001013","Total!!Male!!50 to 54 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"192","PCO001014","Total!!Male!!55 to 59 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"193","PCO001015","Total!!Male!!60 to 64 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"194","PCO001016","Total!!Male!!65 to 69 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"195","PCO001017","Total!!Male!!70 to 74 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"196","PCO001018","Total!!Male!!75 to 79 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"197","PCO001019","Total!!Male!!80 to 84 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"198","PCO001020","Total!!Male!!85 years and over","GROUP QUARTERS POPULATION BY SEX BY AGE"
"199","PCO001021","Total!!Female","GROUP QUARTERS POPULATION BY SEX BY AGE"
"200","PCO001022","Total!!Female!!Under 5 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"201","PCO001023","Total!!Female!!5 to 9 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"202","PCO001024","Total!!Female!!10 to 14 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"203","PCO001025","Total!!Female!!15 to 19 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"204","PCO001026","Total!!Female!!20 to 24 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"205","PCO001027","Total!!Female!!25 to 29 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"206","PCO001028","Total!!Female!!30 to 34 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"207","PCO001029","Total!!Female!!35 to 39 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"208","PCO001030","Total!!Female!!40 to 44 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"209","PCO001031","Total!!Female!!45 to 49 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"210","PCO001032","Total!!Female!!50 to 54 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
"211","PCO001033","Total!!Female!!55 to 59 years","GROUP QUARTERS POPULATION BY SEX BY AGE"
